custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
7623-YAGIPO-LGB,4.00,5.00,0.00,60.00,5.00,July,14.00,2.00,6.00,0.00,17.00,5.00,1.00,12.00,2.48,1.00,10.50,0.67,-0.41,0.59,-0.52,0.00,2.00,0.00,-1.00,-1.00,1.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,2.00,1.00,1.00,0.00,5.40,1.00,0.00,0.00,3.00,2.00,24.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,2.00,6.00,1.00,0.00,1.00,3.00,3.00,2.00,0.00,22.00,5.00,1.00,1.00,4.00,0.00,15.00,4.00,6.00,232.92,4.00,141.03,1.00,1.00,47.00,0.00,13.90,2.63,656.70,6.49,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,17.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00
8117-CRCVST-PFT,4.00,5.00,0.00,35.00,4.00,March,11.00,1.00,2.00,0.00,6.00,3.00,0.00,37.00,3.61,2.00,20.90,2.61,0.96,5.12,1.63,1.00,2.00,0.00,-1.00,-1.00,2.00,5.00,0.00,0.00,0.00,1.00,0.00,0.00,4.00,0.00,2.00,5.00,2.00,2.00,0.00,1.00,13.30,1.00,0.00,0.00,4.00,3.00,30.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,9.00,4.00,0.00,0.00,0.00,5.00,2.00,2.00,0.00,17.00,5.00,3.00,4.00,3.00,0.00,14.00,4.00,11.00,206.63,5.00,109.95,1.00,3.00,45.00,0.00,7.05,1.95,330.70,5.80,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,10.50,2.35,495.00,6.20,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,27.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3114-WDOBKR-OCP,4.00,3.00,1.00,18.00,2.00,May,12.00,2.00,5.00,1.00,0.00,1.00,0.00,14.00,2.64,1.00,22.90,0.58,-0.55,2.63,0.97,1.00,1.00,1.00,12.00,2.00,5.00,5.00,2.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,7.80,1.00,0.00,0.00,8.00,4.00,24.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,9.00,2.00,0.00,0.00,0.00,2.00,4.00,4.00,0.00,0.00,1.00,5.00,4.00,4.00,0.00,0.00,1.00,13.00,351.17,4.00,111.77,1.00,3.00,0.00,0.00,6.25,1.83,#NULL!,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,13.00,2.56,#NULL!,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,25.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0899-FYORWV-86N,3.00,2.00,0.00,68.00,6.00,November,8.00,1.00,6.00,0.00,32.00,5.00,0.00,186.00,5.23,5.00,7.30,4.89,1.59,8.69,2.16,0.00,2.00,0.00,-1.00,-1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,41.00,5.00,2.00,1.00,1.00,83.80,3.00,0.00,1.00,4.00,3.00,25.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,9.00,6.00,1.00,0.00,0.00,2.00,3.00,1.00,0.00,39.00,5.00,5.00,3.00,3.00,1.00,27.00,5.00,8.00,444.34,6.00,263.40,0.00,3.00,71.00,0.00,37.85,3.63,2692.15,7.90,1.00,42.00,3.74,3026.95,8.02,0.00,0.00,#NULL!,0.00,#NULL!,1.00,15.50,2.74,1035.00,6.94,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,19.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
2727-VJTFSE-HOR,4.00,1.00,0.00,43.00,4.00,November,13.00,2.00,2.00,0.00,5.00,2.00,0.00,68.00,4.22,3.00,20.90,5.57,1.72,8.64,2.16,1.00,2.00,0.00,-1.00,-1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,16.00,4.00,2.00,1.00,0.00,33.30,2.00,0.00,0.00,1.00,1.00,23.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,5.00,0.00,0.00,1.00,3.00,1.00,2.00,0.00,25.00,5.00,1.00,1.00,3.00,0.00,23.00,5.00,6.00,141.08,7.00,245.94,0.00,2.00,49.00,0.00,14.30,2.66,747.10,6.62,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,25.25,3.23,1180.00,7.07,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,25.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
0719-DZEGQX-0SD,3.00,5.00,0.00,19.00,2.00,September,9.00,1.00,3.00,0.00,2.00,2.00,0.00,16.00,2.77,1.00,10.10,0.83,-0.18,0.78,-0.25,0.00,2.00,0.00,-1.00,-1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,8.00,4.00,32.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,9.00,4.00,0.00,0.00,1.00,5.00,4.00,4.00,0.00,1.00,1.00,2.00,4.00,1.00,0.00,1.00,1.00,7.00,109.73,2.00,48.37,1.00,1.00,16.00,0.00,5.70,1.74,70.75,4.26,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,20.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6231-VXDDMW-GJC,4.00,3.00,0.00,59.00,5.00,June,14.00,2.00,2.00,1.00,7.00,3.00,0.00,36.00,3.58,2.00,18.40,2.88,1.06,3.74,1.32,0.00,4.00,1.00,12.00,2.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,25.00,4.00,4.00,1.00,1.00,7.80,1.00,0.00,1.00,1.00,1.00,27.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,9.00,6.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,8.00,3.00,4.00,1.00,4.00,0.00,3.00,2.00,17.00,791.24,8.00,368.82,0.00,1.00,21.00,0.00,4.60,1.53,108.50,4.69,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,19.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6504-BASSJM-G5A,2.00,2.00,1.00,53.00,5.00,September,13.00,2.00,1.00,0.00,16.00,5.00,0.00,86.00,4.45,4.00,29.20,0.75,-0.28,24.36,3.19,0.00,5.00,0.00,-1.00,-1.00,1.00,9.00,0.00,2.00,0.00,0.00,0.00,0.00,7.00,1.00,4.00,33.00,5.00,2.00,1.00,1.00,46.60,3.00,0.00,0.00,5.00,3.00,21.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,9.00,5.00,0.00,0.00,1.00,4.00,2.00,2.00,0.00,34.00,5.00,2.00,2.00,2.00,0.00,29.00,5.00,9.00,145.49,6.00,180.56,0.00,2.00,68.00,0.00,17.05,2.84,1188.10,7.08,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,18.25,2.90,1215.00,7.10,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,19.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
8578-TWSGQD-0P1,1.00,1.00,0.00,48.00,4.00,July,18.00,4.00,2.00,0.00,4.00,2.00,0.00,89.00,4.49,4.00,13.90,3.04,1.11,9.33,2.23,1.00,1.00,0.00,-1.00,-1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,7.00,2.00,2.00,1.00,0.00,39.20,2.00,1.00,0.00,1.00,1.00,19.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,9.00,3.00,1.00,0.00,0.00,4.00,1.00,1.00,0.00,24.00,5.00,2.00,1.00,1.00,0.00,20.00,5.00,7.00,352.83,3.00,138.75,0.00,2.00,52.00,0.00,26.70,3.28,1360.40,7.22,1.00,29.50,3.38,1651.40,7.41,0.00,0.00,#NULL!,0.00,#NULL!,1.00,22.00,3.09,1115.00,7.02,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,23.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00
1117-OHMKNR-Y51,4.00,1.00,0.00,47.00,4.00,January,15.00,3.00,4.00,0.00,16.00,5.00,0.00,106.00,4.66,4.00,5.60,0.09,-2.42,5.85,1.77,0.00,5.00,0.00,-1.00,-1.00,1.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,16.00,4.00,3.00,1.00,1.00,67.70,3.00,1.00,1.00,1.00,1.00,20.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,9.00,4.00,0.00,0.00,0.00,5.00,2.00,4.00,0.00,13.00,4.00,3.00,1.00,3.00,0.00,9.00,3.00,15.00,592.52,10.00,259.45,0.00,3.00,42.00,0.00,9.35,2.24,403.40,6.00,1.00,18.00,2.89,696.00,6.55,1.00,31.65,3.45,1340.65,7.20,1.00,14.25,2.66,610.00,6.41,0.00,0.00,#NULL!,0.00,#NULL!,0.00,1.00,1.00,4.00,0.00,1.00,1.00,0.00,1.00,1.00,25.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
4877-OZDGZH-D9M,3.00,2.00,1.00,58.00,5.00,October,13.00,2.00,6.00,0.00,26.00,5.00,0.00,73.00,4.29,3.00,3.30,1.65,0.50,0.76,-0.27,0.00,5.00,0.00,-1.00,-1.00,1.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,1.00,1.00,31.00,5.00,1.00,1.00,1.00,35.40,2.00,0.00,0.00,10.00,5.00,22.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,9.00,2.00,1.00,0.00,0.00,2.00,4.00,2.00,0.00,39.00,5.00,4.00,4.00,4.00,0.00,29.00,5.00,14.00,227.30,4.00,72.89,0.00,3.00,72.00,0.00,28.35,3.34,2068.10,7.63,1.00,44.75,3.80,3167.90,8.06,0.00,0.00,#NULL!,0.00,#NULL!,1.00,23.00,3.14,1625.00,7.39,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,3.00,1.00,1.00,1.00,1.00,0.00,1.00,19.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00
5017-WMPJVS-YQP,5.00,4.00,0.00,25.00,3.00,January,13.00,2.00,1.00,0.00,1.00,1.00,0.00,33.00,3.50,2.00,35.80,4.74,1.56,7.08,1.96,1.00,3.00,0.00,-1.00,-1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,1.00,1.00,10.90,1.00,1.00,0.00,1.00,1.00,34.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,9.00,6.00,1.00,1.00,1.00,5.00,2.00,2.00,1.00,1.00,1.00,3.00,2.00,3.00,0.00,1.00,1.00,7.00,289.12,7.00,218.44,0.00,1.00,2.00,1.00,1.50,0.41,1.65,0.50,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,1.00,1.00,15.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
2319-UBTZOU-BDO,5.00,3.00,0.00,56.00,5.00,November,11.00,1.00,2.00,0.00,2.00,2.00,0.00,55.00,4.01,3.00,19.40,4.74,1.56,5.93,1.78,1.00,5.00,0.00,-1.00,-1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,25.00,4.00,1.00,1.00,0.00,20.10,2.00,1.00,0.00,8.00,4.00,27.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,9.00,3.00,0.00,0.00,1.00,2.00,1.00,2.00,0.00,22.00,5.00,3.00,1.00,3.00,0.00,20.00,5.00,13.00,1388.98,7.00,401.64,1.00,1.00,48.00,0.00,14.25,2.66,679.95,6.52,0.00,0.00,#NULL!,0.00,#NULL!,1.00,32.00,3.47,1579.00,7.36,1.00,20.00,3.00,885.00,6.79,1.00,31.30,3.44,1449.00,7.28,1.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,1.00,1.00,13.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
2256-MRAMIQ-LJ1,2.00,1.00,0.00,68.00,6.00,May,11.00,1.00,2.00,1.00,2.00,2.00,0.00,20.00,3.00,1.00,2.80,0.14,-1.99,0.42,-0.86,0.00,2.00,0.00,-1.00,-1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,12.00,3.00,2.00,0.00,0.00,9.10,1.00,0.00,1.00,8.00,4.00,27.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,9.00,5.00,0.00,0.00,0.00,2.00,4.00,4.00,0.00,1.00,1.00,3.00,2.00,3.00,0.00,1.00,1.00,10.00,284.76,14.00,295.48,0.00,3.00,1.00,0.00,1.85,0.62,1.85,0.62,1.00,21.00,3.04,21.00,3.04,0.00,0.00,#NULL!,0.00,#NULL!,1.00,14.25,2.66,14.25,2.66,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
6490-SQKMBR-9UZ,5.00,4.00,0.00,66.00,6.00,January,9.00,1.00,2.00,0.00,15.00,4.00,0.00,68.00,4.22,3.00,12.70,2.16,0.77,6.48,1.87,0.00,4.00,0.00,-1.00,-1.00,2.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,1.00,27.00,5.00,3.00,1.00,1.00,25.30,2.00,1.00,0.00,1.00,1.00,22.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,9.00,4.00,0.00,0.00,0.00,3.00,3.00,4.00,0.00,18.00,5.00,4.00,4.00,4.00,0.00,5.00,2.00,5.00,80.20,8.00,147.62,0.00,2.00,26.00,0.00,7.65,2.03,176.05,5.17,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,10.50,2.35,285.00,5.65,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,23.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5126-WLYXHE-S62,2.00,2.00,0.00,38.00,4.00,August,15.00,3.00,2.00,0.00,0.00,1.00,0.00,33.00,3.50,2.00,6.20,0.81,-0.21,1.23,0.21,0.00,1.00,0.00,-1.00,-1.00,1.00,3.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,13.00,3.00,1.00,1.00,0.00,19.60,1.00,0.00,0.00,8.00,4.00,28.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,9.00,6.00,1.00,1.00,1.00,2.00,2.00,3.00,1.00,3.00,2.00,4.00,1.00,4.00,0.00,3.00,2.00,5.00,184.30,11.00,510.56,1.00,1.00,14.00,1.00,4.15,1.42,56.40,4.03,1.00,20.50,3.02,297.55,5.70,0.00,0.00,#NULL!,0.00,#NULL!,1.00,16.75,2.82,220.00,5.39,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,22.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00
2827-UOWJBD-SYA,1.00,4.00,0.00,22.00,2.00,December,14.00,2.00,2.00,0.00,0.00,1.00,0.00,20.00,3.00,1.00,14.40,0.25,-1.37,2.63,0.97,1.00,1.00,1.00,16.00,3.00,4.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,1.00,1.00,1.00,3.00,1.00,0.00,14.70,1.00,0.00,0.00,1.00,1.00,21.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,9.00,4.00,0.00,0.00,1.00,3.00,2.00,1.00,0.00,2.00,2.00,2.00,1.00,3.00,0.00,3.00,2.00,11.00,363.78,4.00,132.61,1.00,3.00,7.00,1.00,4.25,1.45,30.95,3.43,0.00,0.00,#NULL!,0.00,#NULL!,1.00,19.70,2.98,127.30,4.85,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,17.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
1402-XVMJFP-FAT,5.00,3.00,0.00,77.00,6.00,October,17.00,4.00,2.00,0.00,5.00,2.00,1.00,10.00,2.30,1.00,8.10,0.16,-1.82,0.65,-0.43,0.00,2.00,0.00,-1.00,-1.00,1.00,3.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,47.00,5.00,2.00,0.00,1.00,5.00,1.00,0.00,0.00,3.00,2.00,30.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,9.00,4.00,1.00,0.00,1.00,5.00,4.00,1.00,0.00,36.00,5.00,2.00,4.00,4.00,1.00,25.00,5.00,8.00,150.83,4.00,63.69,0.00,2.00,65.00,0.00,19.80,2.99,1301.20,7.17,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,24.00,3.18,1555.00,7.35,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,19.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
4940-QFBTLJ-WXO,2.00,3.00,1.00,49.00,4.00,June,15.00,3.00,2.00,0.00,2.00,2.00,0.00,59.00,4.08,3.00,11.40,4.77,1.56,1.96,0.67,1.00,3.00,1.00,14.00,2.00,2.00,7.00,0.00,1.00,1.00,0.00,0.00,0.00,5.00,0.00,2.00,19.00,4.00,3.00,1.00,0.00,30.10,2.00,1.00,1.00,1.00,1.00,29.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,9.00,4.00,0.00,0.00,1.00,2.00,3.00,4.00,1.00,4.00,2.00,4.00,1.00,2.00,1.00,5.00,2.00,11.00,147.47,4.00,58.63,1.00,3.00,16.00,0.00,8.20,2.10,126.45,4.84,1.00,28.75,3.36,448.65,6.11,1.00,36.50,3.60,513.50,6.24,1.00,8.50,2.14,130.00,4.87,1.00,26.55,3.28,393.35,5.97,0.00,1.00,1.00,3.00,0.00,1.00,1.00,1.00,1.00,1.00,20.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
6704-LTYDYF-H8I,5.00,2.00,1.00,69.00,6.00,October,19.00,4.00,2.00,0.00,10.00,3.00,0.00,81.00,4.39,4.00,8.80,2.80,1.03,4.33,1.46,0.00,5.00,1.00,16.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,43.00,5.00,2.00,1.00,0.00,48.10,3.00,0.00,0.00,1.00,1.00,22.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,9.00,2.00,0.00,0.00,1.00,4.00,2.00,3.00,0.00,34.00,5.00,1.00,1.00,2.00,1.00,25.00,5.00,11.00,308.24,4.00,148.49,0.00,3.00,68.00,0.00,16.30,2.79,1099.30,7.00,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,20.00,3.00,1455.00,7.28,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,22.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00
3168-BWUHOD-52S,4.00,4.00,0.00,19.00,2.00,December,14.00,2.00,3.00,0.00,0.00,1.00,0.00,14.00,2.64,1.00,17.00,0.28,-1.27,2.10,0.74,1.00,1.00,1.00,11.00,1.00,6.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,2.00,0.00,1.00,5.60,1.00,0.00,1.00,1.00,1.00,28.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,9.00,4.00,1.00,0.00,0.00,1.00,2.00,1.00,0.00,1.00,1.00,2.00,3.00,3.00,0.00,1.00,1.00,13.00,406.59,4.00,169.38,1.00,1.00,13.00,0.00,6.10,1.81,83.20,4.42,1.00,24.50,3.20,319.80,5.77,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,22.50,3.11,241.95,5.49,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,15.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
0688-IJBXJA-RBH,3.00,4.00,0.00,69.00,6.00,July,7.00,1.00,2.00,0.00,14.00,4.00,0.00,23.00,3.14,1.00,10.40,1.08,0.08,1.31,0.27,0.00,4.00,1.00,8.00,1.00,2.00,2.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,35.00,5.00,1.00,1.00,1.00,10.40,1.00,0.00,1.00,8.00,4.00,28.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,9.00,2.00,1.00,0.00,1.00,5.00,1.00,3.00,0.00,23.00,5.00,3.00,2.00,4.00,0.00,19.00,5.00,10.00,110.23,0.00,0.00,0.00,2.00,56.00,0.00,18.00,2.89,1019.55,6.93,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,14.00,2.64,665.00,6.50,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,22.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
9569-INPBJS-4DG,4.00,5.00,0.00,40.00,4.00,March,13.00,2.00,2.00,0.00,2.00,2.00,0.00,97.00,4.57,4.00,14.30,1.30,0.27,12.57,2.53,0.00,2.00,1.00,15.00,3.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,13.00,3.00,3.00,1.00,0.00,63.80,3.00,0.00,0.00,1.00,1.00,25.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,9.00,4.00,0.00,0.00,0.00,3.00,1.00,3.00,0.00,14.00,4.00,1.00,4.00,2.00,0.00,10.00,3.00,14.00,835.97,5.00,243.26,0.00,1.00,36.00,0.00,4.10,1.41,140.90,4.95,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,1.00,13.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2379-EHJSJT-VTN,1.00,2.00,1.00,51.00,5.00,January,15.00,3.00,6.00,0.00,19.00,5.00,0.00,64.00,4.16,3.00,4.50,2.38,0.87,0.50,-0.69,0.00,4.00,1.00,13.00,2.00,4.00,2.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,19.00,4.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,8.00,4.00,30.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,9.00,4.00,0.00,0.00,0.00,4.00,3.00,4.00,0.00,18.00,5.00,2.00,1.00,3.00,1.00,14.00,4.00,8.00,151.80,4.00,106.73,0.00,3.00,37.00,1.00,5.65,1.73,202.70,5.31,1.00,29.25,3.38,1062.25,6.97,0.00,0.00,#NULL!,0.00,#NULL!,1.00,25.00,3.22,970.00,6.88,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,16.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
